"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
286458;194;79777;QUA;"2020-01-01 03:25:00";"2020-01-01 04:00:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00
286459;194;79777;SPO;"2020-01-01 03:25:00";"2020-01-01 04:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.50;2.00;1.00;0.50;0.00;0.00
286460;44;79778;ANT;"2020-01-01 23:10:00";"2020-01-02 01:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
286461;44;79778;DLM;"2020-01-01 23:10:00";"2020-01-02 01:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
286462;44;79778;QUA;"2020-01-01 23:10:00";"2020-01-02 01:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
286463;44;79778;SPO;"2020-01-01 23:10:00";"2020-01-02 01:20:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;2.00;0.00;2.00;4.00;0.00;0.00
286464;82;79779;ANT;"2020-01-02 02:10:00";"2020-01-02 05:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.50;1.50;3.50;1.50;0.00
286465;82;79779;QUA;"2020-01-02 02:10:00";"2020-01-02 05:25:00";0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.50;1.50;3.50;4.50;5.50;0.50;0.00
286466;82;79779;DLM;"2020-01-02 02:10:00";"2020-01-02 05:25:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.50;1.00;1.50;1.00;0.00;0.00
286467;82;79779;SPO;"2020-01-02 02:10:00";"2020-01-02 05:25:00";0.00;0.00;0.00;0.00;0.00;1.00;1.50;1.00;4.50;7.00;13.00;9.00;6.00;0.00
286468;131;79780;QUA;"2020-01-02 01:54:00";"2020-01-02 04:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;1.00;1.00;0.00;0.00;0.00
286469;131;79780;DLM;"2020-01-02 01:54:00";"2020-01-02 04:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
286470;131;79780;ANT;"2020-01-02 01:54:00";"2020-01-02 04:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00
286471;131;79780;SPO;"2020-01-02 01:54:00";"2020-01-02 04:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;5.00;8.00;1.00;0.00;0.00
286476;210;79782;ANT;"2020-01-01 23:30:00";"2020-01-02 05:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;5.00;8.00;0.00;0.00
286477;210;79782;QUA;"2020-01-01 23:30:00";"2020-01-02 01:45:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;1.00;5.00;2.00;1.00;0.00
286478;210;79782;QUA;"2020-01-02 02:15:00";"2020-01-02 05:15:00";0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;3.00;8.00;10.00;2.00;1.00;0.00
286479;210;79782;DLM;"2020-01-01 23:30:00";"2020-01-02 05:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;5.00;3.00;0.00;0.00
286480;210;79782;SPO;"2020-01-01 23:30:00";"2020-01-02 05:15:00";0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;3.00;8.00;18.00;27.00;11.00;0.00
286481;194;79783;QUA;"2020-01-03 04:08:00";"2020-01-03 04:37:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00
286482;194;79783;SPO;"2020-01-03 04:08:00";"2020-01-03 04:37:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
286511;131;79785;QUA;"2020-01-03 01:30:00";"2020-01-03 02:31:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00
286512;131;79785;QUA;"2020-01-03 02:31:00";"2020-01-03 03:34:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;1.00;0.00;0.00;0.00
286513;131;79785;QUA;"2020-01-03 03:34:00";"2020-01-03 04:37:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00
286514;131;79785;DLM;"2020-01-03 01:30:00";"2020-01-03 04:37:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00
286515;131;79785;ANT;"2020-01-03 01:30:00";"2020-01-03 04:37:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00
286516;131;79785;SPO;"2020-01-03 01:30:00";"2020-01-03 04:37:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;4.00;5.00;10.00;2.00;0.00;0.00
286517;82;79786;ANT;"2020-01-03 01:58:00";"2020-01-03 05:36:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;1.50;5.50;2.00;1.00;0.00
286518;82;79786;QUA;"2020-01-03 01:58:00";"2020-01-03 03:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;3.00;7.00;3.00;2.00;0.00
286519;82;79786;QUA;"2020-01-03 03:15:00";"2020-01-03 05:36:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.50;6.50;7.50;7.50;1.00;0.00
286520;82;79786;DLM;"2020-01-03 01:58:00";"2020-01-03 05:36:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;0.00;0.00;0.00
286521;82;79786;SPO;"2020-01-03 01:58:00";"2020-01-03 03:15:00";0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.50;3.00;2.00;2.50;2.00;0.00
286522;82;79786;SPO;"2020-01-03 03:15:00";"2020-01-03 05:36:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.00;6.50;11.00;5.00;1.50;0.00
286820;210;79794;ANT;"2020-01-03 02:25:00";"2020-01-03 05:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;4.00;3.00;0.00;0.00
286821;210;79794;QUA;"2020-01-03 02:25:00";"2020-01-03 05:25:00";0.00;0.00;0.00;1.00;0.00;0.00;3.00;3.00;6.00;9.00;19.00;5.00;1.00;0.00
286822;210;79794;DLM;"2020-01-03 02:25:00";"2020-01-03 05:25:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;3.00;2.00;1.00;0.00
286823;210;79794;SPO;"2020-01-03 02:25:00";"2020-01-03 05:25:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;3.00;6.00;10.00;15.00;7.00;0.00
286824;194;79795;QUA;"2020-01-03 18:27:00";"2020-01-03 18:59:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.50;0.50;0.00;0.00;0.00;0.00
286825;194;79795;SPO;"2020-01-03 18:27:00";"2020-01-03 18:59:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
